,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
2834,CC,AAU,AABA,M,Subordinate control,2.9,25,forage,am,0.36056,1,0
2835,CY,CB,AABH,M,Subordinate control,3,7,forage,am,0.12556,0,5.4
2836,A,AAA,AAAA,F,Subordinate control,3.2,27,forage,pm,0.33917,0,0
2837,B,AAA,AAAA,M,Subordinate control,3.3,27,forage,pm,0.38944,0,0
2838,C,AAA,AAAA,M,Subordinate control,3.2,27,forage,pm,0.26222,0,0
2839,D,AAA,AAAA,M,Subordinate control,3.3,27,burrow,am,0.02028,0,0
2840,H,F,AAAC,F,Subordinate control,3.2,14,forage,pm,0.25556,1,34.000022
2841,I,AAC,AAAD,F,Dominant control,3.1,21,burrow,am,0.09944,0,107.400108
2842,CF,AAB,AABC,M,Dominant control,2.8,32,forage,am,0.33222,0,2.8
2843,L,F,AAAC,M,Subordinate control,3.2,14,forage,pm,0.26,0,34.000022
2844,R,AAC,AAAD,M,Dominant control,3.1,21,forage,pm,0.22694,0,107.000108
2845,S,AAC,AAAD,M,Dominant control,3.1,21,forage,pm,0.2525,0,107.000108
2846,M,AAC,AAAD,M,Dominant control,3.1,21,forage,pm,0.21556,0,107.000108
2847,N,AAC,AAAE,M,Dominant treated,3.1,20,forage,pm,0.06028,0,8.799998
2848,T,AAC,AAAE,M,Dominant treated,3.1,20,forage,pm,0.44167,1,8.799998
2849,O,AAC,AAAE,M,Dominant treated,3.1,20,forage,pm,0.24889,0,8.799998
2850,P,AAC,AAAE,M,Dominant treated,3.1,20,forage,am,0.35694,0,8.799998
2851,Y,AAE,AAAG,F,Dominant treated,3.2,15,burrow,pm,0.15472,0,4.6
2852,Z,AAE,AAAG,F,Dominant treated,3.2,15,forage,am,0.17694,0,4.6
2853,AA,AAE,AAAH,F,Dominant control,2.7,15,forage,am,0.3425,1,6.8
2854,AB,AAE,AAAG,M,Dominant treated,3.2,15,forage,am,0.17722,0,4.6
2855,AF,AAF,AAAJ,F,Dominant control,3.1,14,forage,pm,0.1225,0,30.799992
2856,AG,AAF,AAAJ,F,Dominant control,3.1,14,forage,am,0.3425,0,30.799992
2857,AH,AAF,AAAJ,F,Dominant control,3.1,14,forage,am,0.34083,1,30.799992
2858,AI,AAF,AAAI,F,Dominant treated,3.1,12,forage,am,0.41444,1,0.4
2859,AD,AAF,AAAI,F,Dominant treated,3,12,forage,pm,0.28222,0,2
2860,AE,AAF,AAAI,M,Dominant treated,3.1,12,forage,am,0.35806,0,0.4
2861,AJ,AAG,AAAK,F,Dominant control,3.2,16,burrow,am,0.08972,0,13.199999
2862,AK,AAG,AAAK,M,Dominant control,3.3,16,forage,pm,0.23833,1,11.999999
2863,AM,AAG,AAAK,M,Dominant control,3.3,16,forage,am,0.24056,0,11.999999
2864,AN,AAH,AAAL,F,Dominant control,2.8,23,forage,pm,0.29194,1,11.6
2865,AO,AAH,AAAL,F,Dominant control,2.8,23,forage,pm,0.105,0,11.6
2866,CJ,AAW,AABE,F,Subordinate control,2.9,19,burrow,pm,0.055,0,8.8
2867,CK,AAW,AABE,F,Subordinate control,2.9,19,burrow,pm,0.08417,0,8.8
2868,AP,AAH,AAAL,M,Dominant control,2.8,23,burrow,pm,0.08333,0,11.6
2869,AQ,AAH,AAAL,M,Dominant control,2.8,23,forage,pm,0.32944,1,11.6
2870,CP,AN,AABF,M,Subordinate control,3,11,forage,am,0.42472,0,13.999998
2871,CQ,AN,AABF,M,Subordinate control,3.1,11,forage,pm,0.16194,0,13.999998
2872,AR,AAI,AAAM,F,Dominant treated,3.2,33,burrow,am,0.09889,0,12.6
2873,AU,AAK,AAAO,F,Dominant control,3.1,5,burrow,am,0.09139,0,78.000117
2874,AV,AAK,AAAO,M,Dominant control,3.1,5,burrow,am,0.09028,0,78.000117
2875,AX,AAL,AAAP,F,Dominant treated,3.1,33,forage,am,0.34361,2,0
2876,AY,AAL,AAAP,F,Dominant treated,3.1,33,burrow,am,0.02861,0,0
2877,BD,AAL,AAAP,M,Dominant treated,3.1,33,forage,am,0.33472,1,0
2878,BH,AX,AAAT,M,Subordinate control,3,7,forage,am,0.33806,0,82.600118
2879,BI,AX,AAAT,M,Subordinate control,3,7,forage,pm,0.28194,0,82.600118
2880,BJ,A,AAAU,F,Subordinate control,3.2,8,forage,am,0.34444,1,23.199997
2881,BK,A,AAAU,F,Subordinate control,3.2,8,forage,am,0.33139,0,23.199997
2882,BM,AAQ,AAAW,F,Subordinate control,3.2,22,forage,am,0.3425,6,11.999999
2883,BP,AAQ,AAAW,M,Subordinate control,3.2,22,forage,pm,0.26222,0,11.999999
2884,BQ,AAQ,AAAW,M,Subordinate control,3.2,22,forage,am,0.345,5,11.999999
2885,BR,AAS,AAAY,F,Dominant control,3.1,9,burrow,am,0.09194,0,11.6
2886,BS,AAS,AAAY,M,Dominant control,3.1,9,forage,am,0.34611,0,11.6
2887,BU,AAS,AAAY,M,Dominant control,3.1,9,burrow,am,0.08083,0,11.6
2888,CS,AAX,AABG,F,Dominant control,3,12,forage,am,0.32639,0,97.000108
2889,CT,AAX,AABG,F,Dominant control,3,12,forage,pm,0.25306,0,97.000108
2890,CU,AAX,AABG,F,Dominant control,3,12,forage,am,0.1125,0,97.000108
2891,BX,AAT,AAAZ,M,Dominant control,3.3,32,forage,am,0.33528,2,11.999999
2892,BZ,AAT,AAAZ,M,Dominant control,3.3,32,forage,am,0.26889,0,11.999999
2893,CV,AAX,AABG,M,Dominant control,3,12,forage,am,0.62444,3,97.000108
2894,CA,AAU,AABA,F,Subordinate control,2.9,25,forage,am,0.25611,0,0
2895,CB,AAU,AABA,F,Subordinate control,2.9,25,burrow,am,0.08889,0,0
2896,CE,AAU,AABA,F,Subordinate control,2.9,25,forage,am,0.35833,2,0
2897,CC,AAU,AABA,M,Subordinate control,2.9,25,forage,am,0.34333,0,0
2898,CY,CB,AABH,M,Subordinate control,3,7,forage,am,0.17139,0,5.4
2899,A,AAA,AAAA,F,Subordinate control,4.2,25,burrow,am,0.103611111,0,27.200011
2900,B,AAA,AAAA,M,Subordinate control,4.2,25,forage,am,0.375833333,0,27.200011
2901,C,AAA,AAAA,M,Subordinate control,4.2,25,forage,am,0.3475,0,27.200011
2902,D,AAA,AAAA,M,Subordinate control,4.2,24,forage,am,0.364166667,0,27.200011
2903,H,F,AAAC,F,Subordinate control,4,16,forage,pm,0.150833333,0,31.80002
2904,I,AAC,AAAD,F,Dominant control,3.9,20,forage,pm,0.257222222,1,56.400107
2905,Q,F,AAAC,M,Subordinate control,4,16,forage,pm,0.257777778,0,31.80002
2906,L,F,AAAC,M,Subordinate control,4,16,forage,pm,0.258611111,0,31.80002
2907,R,AAC,AAAD,M,Dominant control,3.9,20,forage,pm,0.251388889,0,56.400107
2908,S,AAC,AAAD,M,Dominant control,3.9,20,forage,pm,0.081666667,0,56.400107
2909,M,AAC,AAAD,M,Dominant control,3.9,20,forage,pm,0.255555556,0,56.400107
2910,N,AAC,AAAE,M,Dominant treated,4,20,burrow,am,0.098055556,0,0
2911,T,AAC,AAAE,M,Dominant treated,4,20,burrow,am,0.101944444,0,0
2912,O,AAC,AAAE,M,Dominant treated,4,20,burrow,am,0.074444444,0,0
2913,P,AAC,AAAE,M,Dominant treated,4,20,burrow,am,0.104722222,0,0
2914,Y,AAE,AAAG,F,Dominant treated,3.9,15,forage,pm,0.244444444,1,0
2915,Z,AAE,AAAG,F,Dominant treated,3.9,15,forage,am,0.244444444,0,0
2916,AA,AAE,AAAH,F,Dominant control,3.7,16,forage,am,0.332222222,1,2.6
2917,AB,AAE,AAAG,M,Dominant treated,3.9,15,forage,pm,0.248333333,0,0
2918,AF,AAF,AAAJ,F,Dominant control,4,12,forage,pm,0.244722222,2,35.199993
2919,AG,AAF,AAAJ,F,Dominant control,4,12,forage,pm,0.233333333,1,35.199993
2920,AH,AAF,AAAJ,F,Dominant control,4,12,forage,pm,0.27,0,35.199993
2921,AI,AAF,AAAI,F,Dominant treated,3.9,16,forage,am,0.395555556,1,13.999998
2922,AD,AAF,AAAI,F,Dominant treated,3.9,16,forage,am,0.436666667,3,13.999998
2923,AE,AAF,AAAI,M,Dominant treated,3.9,16,forage,am,0.545,2,13.999998
2924,AJ,AAG,AAAK,F,Dominant control,4.1,13,forage,am,0.241111111,0,0.4
2925,AK,AAG,AAAK,M,Dominant control,4.1,13,forage,am,0.245833333,1,0.4
2926,AM,AAG,AAAK,M,Dominant control,4.1,13,forage,am,0.250833333,0,0.4
2927,CG,AR,AABD,F,Subordinate control,4,15,forage,am,0.328055556,0,0
2928,CI,AR,AABD,F,Subordinate control,4,20,burrow,am,0.090833333,0,0
2929,CH,AR,AABD,M,Subordinate control,4,20,burrow,am,0.09,0,0
2930,AN,AAH,AAAL,F,Dominant control,3.9,22,forage,am,0.381111111,0,11.999999
2931,AO,AAH,AAAL,F,Dominant control,3.9,22,forage,am,0.343333333,0,11.999999
2932,CJ,AAW,AABE,F,Subordinate control,3.9,13,forage,am,0.3375,1,4.2
2933,CK,AAW,AABE,F,Subordinate control,3.9,13,forage,am,0.337777778,0,4.2
2934,CL,AN,AABF,F,Subordinate control,3.9,15,burrow,am,0.096944444,0,0.2
2935,AP,AAH,AAAL,M,Dominant control,3.9,22,burrow,am,0.065555556,0,11.999999
2936,AQ,AAH,AAAL,M,Dominant control,3.9,22,forage,am,0.3575,0,11.999999
2937,CP,AN,AABF,M,Subordinate control,3.9,15,burrow,am,0.17,2,0.2
2938,CQ,AN,AABF,M,Subordinate control,3.9,15,burrow,am,0.092777778,0,0.2
2939,AR,AAI,AAAM,F,Dominant treated,4,31,forage,pm,1.049444444,2,15.599999
2940,AT,AAJ,AAAN,F,Subordinate control,4.1,32,burrow,am,0.2575,0,11.999999
2941,AU,AAK,AAAO,F,Dominant control,3.9,9,burrow,am,0.109166667,0,0.4
2942,AV,AAK,AAAO,M,Dominant control,3.9,9,burrow,am,0.211666667,0,0.4
2943,AX,AAL,AAAP,F,Dominant treated,4,33,burrow,am,0.015277778,0,26.200011
2944,AY,AAL,AAAP,F,Dominant treated,4,33,burrow,am,0.104722222,0,26.200011
2945,AZ,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,3.9,19,forage,am,0.333611111,4,2.6
2946,BA,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,3.8,16,forage,am,0.336111111,5,2.6
2947,BC,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,3.9,16,forage,am,0.333333333,8,2.6
2948,BD,AAL,AAAP,M,Dominant treated,4,33,forage,am,0.309166667,0,26.200011
2949,BE,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,4,19,forage,am,0.339166667,1,2.6
2950,BF,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,3.9,10,forage,am,0.418333333,0,1.2
2951,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,3.9,19,forage,am,0.335833333,8,2.6
2952,BH,AX,AAAT,M,Subordinate control,3.9,6,forage,pm,0.212777778,0,0.4
2953,BI,AX,AAAT,M,Subordinate control,3.9,6,forage,pm,0.233888889,0,0.4
2954,BJ,A,AAAU,F,Subordinate control,3.9,7,forage,am,0.341388889,0,48.79999
2955,BK,A,AAAU,F,Subordinate control,3.9,7,forage,am,0.328888889,0,48.79999
2956,BP,AAQ,AAAW,M,Subordinate control,4.2,5,forage,am,0.3925,0,0
2957,BR,AAS,AAAY,F,Dominant control,3.9,9,burrow,am,0.018333333,0,11.999999
2958,BS,AAS,AAAY,M,Dominant control,3.9,9,burrow,am,0.076666667,1,11.999999
2959,BU,AAS,AAAY,M,Dominant control,3.9,9,burrow,am,0.009166667,0,11.999999
2960,CS,AAX,AABG,F,Dominant control,3.9,8,forage,pm,0.251388889,0,0.4
2961,CT,AAX,AABG,F,Dominant control,4,8,forage,pm,0.218055556,0,0.4
2962,CU,AAX,AABG,F,Dominant control,3.9,8,forage,pm,0.254444444,0,0.4
2963,BX,AAT,AAAZ,M,Dominant control,4,31,forage,am,0.245277778,0,0
2964,BZ,AAT,AAAZ,M,Dominant control,4,31,forage,am,0.246666667,2,0
2965,CV,AAX,AABG,M,Dominant control,3.9,8,forage,pm,0.245833333,0,0.4
2966,CB,AAU,AABA,F,Subordinate control,3.8,21,burrow,am,0.0875,0,26.400011
2967,CE,AAU,AABA,F,Subordinate control,3.8,21,forage,am,0.328055556,0,26.400011
2968,CC,AAU,AABA,M,Subordinate control,3.8,21,forage,am,0.344166667,1,26.400011
2969,CY,CB,AABH,M,Subordinate control,3.9,7,burrow,am,0.084444444,0,8.799998
2970,A,AAA,AAAA,F,Subordinate control,4.3,25,forage,pm,0.168055556,0,25.600011
2971,B,AAA,AAAA,M,Subordinate control,4.4,25,forage,pm,0.338333333,0,1
2972,C,AAA,AAAA,M,Subordinate control,4.4,25,burrow,pm,0.094722222,0,1
2973,D,AAA,AAAA,M,Subordinate control,4.4,25,burrow,pm,0.028333333,0,1
2974,H,F,AAAC,F,Subordinate control,4.1,17,forage,am,0.362777778,1,13.600001
2975,I,AAC,AAAD,F,Dominant control,4.1,20,forage,am,0.335555556,0,2
2976,Q,F,AAAC,M,Subordinate control,4.1,17,forage,am,0.365555556,2,13.600001
2977,L,F,AAAC,M,Subordinate control,4.1,17,forage,am,0.338333333,1,13.600001
2978,S,AAC,AAAD,M,Dominant control,4.1,20,forage,am,0.341944444,0,2
2979,M,AAC,AAAD,M,Dominant control,4.1,20,forage,am,0.282222222,1,2
2980,N,AAC,AAAE,M,Dominant treated,4.1,17,forage,pm,0.19,0,0
2981,T,AAC,AAAE,M,Dominant treated,4.1,23,forage,am,0.338611111,0,0
2982,O,AAC,AAAE,M,Dominant treated,4.1,23,forage,pm,0.3275,0,0
2983,P,AAC,AAAE,M,Dominant treated,4.1,23,forage,am,0.357777778,0,0
2984,Y,AAE,AAAG,F,Dominant treated,4.2,15,forage,am,0.331666667,0,1.6
2985,Z,AAE,AAAG,F,Dominant treated,4.2,15,forage,am,0.208888889,0,1.6
2986,AA,AAE,AAAH,F,Dominant control,4.1,16,forage,am,0.333333333,1,2.2
2987,AB,AAE,AAAG,M,Dominant treated,4.2,15,forage,am,0.345555556,0,1.6
2988,AF,AAF,AAAJ,F,Dominant control,4.2,12,forage,am,0.343055556,2,32.399991
2989,AG,AAF,AAAJ,F,Dominant control,4.2,12,forage,pm,0.234722222,1,32.399991
2990,AI,AAF,AAAI,F,Dominant treated,4.1,16,forage,am,0.362777778,1,13.999998
2991,AD,AAF,AAAI,F,Dominant treated,4.1,16,forage,am,0.349444444,3,13.999998
2992,AJ,AAG,AAAK,F,Dominant control,4.2,13,forage,am,0.392222222,0,0
2993,AK,AAG,AAAK,M,Dominant control,4.2,13,forage,am,0.361944444,0,0
2994,AM,AAG,AAAK,M,Dominant control,4.2,13,forage,am,0.336111111,0,0
2995,CG,AR,AABD,F,Subordinate control,4.2,15,forage,am,0.339722222,0,0
2996,CI,AR,AABD,F,Subordinate control,4.1,20,burrow,pm,0.083888889,0,0
2997,CH,AR,AABD,M,Subordinate control,4.2,15,forage,am,0.335,0,0
2998,AN,AAH,AAAL,F,Dominant control,4,22,forage,pm,0.2475,0,11.799999
2999,AO,AAH,AAAL,F,Dominant control,4,22,burrow,pm,0.013461538,0,11.799999
3000,CJ,AAW,AABE,F,Subordinate control,4.1,14,forage,pm,0.253333333,0,2.2
3001,CK,AAW,AABE,F,Subordinate control,4.2,16,forage,am,0.383333333,2,2.6
3002,CL,AN,AABF,F,Subordinate control,4.1,15,burrow,am,0.083055556,0,0.2
3003,AP,AAH,AAAL,M,Dominant control,4,22,forage,pm,0.248055556,2,11.799999
3004,AQ,AAH,AAAL,M,Dominant control,4.1,22,burrow,am,0.090555556,0,10.599999
3005,CP,AN,AABF,M,Subordinate control,4.1,15,burrow,am,0.098611111,0,0.2
3006,CQ,AN,AABF,M,Subordinate control,4.1,15,burrow,am,0.085,0,0.2
3007,AR,AAI,AAAM,F,Dominant treated,4.2,32,burrow,pm,0.1975,0,11.999999
3008,AU,AAK,AAAO,F,Dominant control,4,4,forage,pm,0.254166667,0,0.4
3009,AV,AAK,AAAO,M,Dominant control,4,4,forage,pm,0.253333333,0,0.4
3010,AX,AAL,AAAP,F,Dominant treated,4.1,29,forage,pm,0.255833333,4,26.400011
3011,AY,AAL,AAAP,F,Dominant treated,4.1,27,forage,pm,0.111666667,0,26.400011
3012,BD,AAL,AAAP,M,Dominant treated,4.1,29,forage,pm,0.2875,0,26.400011
3013,BE,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,4.5,12,forage,am,0.334444444,0,2.8
3014,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,4.1,9,burrow,pm,0.008888889,0,2.2
3015,BI,AX,AAAT,M,Subordinate control,4.1,6,forage,pm,0.255,0,5.8
3016,BJ,A,AAAU,F,Subordinate control,4.2,7,burrow,am,0.090555556,0,36.199993
3017,BK,A,AAAU,F,Subordinate control,4.2,7,burrow,am,0.093055556,0,36.199993
3018,BR,AAS,AAAY,F,Dominant control,4,9,forage,pm,0.265555556,0,11.999999
3019,BS,AAS,AAAY,M,Dominant control,4.1,9,forage,pm,0.280277778,1,11.999999
3020,BU,AAS,AAAY,M,Dominant control,4,9,forage,pm,0.160833333,1,11.999999
3021,BX,AAT,AAAZ,M,Dominant control,4.3,31,forage,pm,0.224166667,1,0
3022,BZ,AAT,AAAZ,M,Dominant control,4.3,31,forage,pm,0.280833333,0,0
3023,CB,AAU,AABA,F,Subordinate control,3.9,21,forage,am,0.3475,1,27.200011
3024,CE,AAU,AABA,F,Subordinate control,3.9,21,burrow,am,0.061944444,0,27.200011
3025,CC,AAU,AABA,M,Subordinate control,3.9,21,forage,am,0.346666667,0,27.200011
3026,CY,CB,AABH,M,Subordinate control,3.9,7,forage,pm,0.286666667,0,8.799998
3027,A,AAA,AAAA,F,Subordinate control,4.4,25,forage,pm,0.371666667,1,1
3028,B,AAA,AAAA,M,Subordinate control,4.4,25,forage,pm,0.306666667,6,1
3029,C,AAA,AAAA,M,Subordinate control,4.4,25,burrow,am,0.084722222,0,1
3030,D,AAA,AAAA,M,Subordinate control,4.4,25,burrow,am,0.086944444,0,1
3031,H,F,AAAC,F,Subordinate control,4.1,17,forage,pm,0.259722222,0,13.600001
3032,I,AAC,AAAD,F,Dominant control,4.1,20,forage,am,0.337222222,0,2
3033,Q,F,AAAC,M,Subordinate control,4.1,17,forage,pm,0.257777778,1,13.600001
3034,L,F,AAAC,M,Subordinate control,4.1,17,forage,pm,0.250277778,0,13.600001
3035,M,AAC,AAAD,M,Dominant control,4.1,20,forage,am,0.330833333,0,2
3036,N,AAC,AAAE,M,Dominant treated,4.1,18,forage,am,0.340555556,0,0
3037,T,AAC,AAAE,M,Dominant treated,4.1,17,forage,pm,0.329166667,0,0
3038,O,AAC,AAAE,M,Dominant treated,4.1,17,forage,pm,0.293055556,0,0
3039,P,AAC,AAAE,M,Dominant treated,4.1,18,forage,am,0.369166667,0,0
3040,Y,AAE,AAAG,F,Dominant treated,4.2,15,forage,am,0.301944444,0,1.6
3041,Z,AAE,AAAG,F,Dominant treated,4.2,15,forage,am,0.317777778,0,1.6
3042,AA,AAE,AAAH,F,Dominant control,4.1,16,forage,pm,0.25,2,2.2
3043,AB,AAE,AAAG,M,Dominant treated,4.2,15,forage,am,0.231944444,0,1.6
3044,AF,AAF,AAAJ,F,Dominant control,4.2,12,forage,pm,0.260555556,0,32.399991
3045,AG,AAF,AAAJ,F,Dominant control,4.2,12,forage,pm,0.127777778,0,32.399991
3046,AJ,AAG,AAAK,F,Dominant control,4.2,13,forage,am,0.345833333,10,0
3047,AK,AAG,AAAK,M,Dominant control,4.2,13,forage,pm,0.257777778,1,0
3048,AM,AAG,AAAK,M,Dominant control,4.2,13,forage,am,0.337222222,0,0
3049,CI,AR,AABD,F,Subordinate control,4.2,20,burrow,am,0.068888889,0,0
3050,CH,AR,AABD,M,Subordinate control,4.2,15,forage,am,0.331111111,2,0
3051,AN,AAH,AAAL,F,Dominant control,4,22,forage,pm,0.197222222,0,11.799999
3052,AO,AAH,AAAL,F,Dominant control,4.1,22,burrow,am,0.106666667,0,10.599999
3053,CJ,AAW,AABE,F,Subordinate control,4.2,16,forage,am,0.343333333,1,2.6
3054,CK,AAW,AABE,F,Subordinate control,4.2,16,forage,am,0.324722222,5,2.6
3055,CL,AN,AABF,F,Subordinate control,4.1,9,forage,am,0.339444444,0,0.2
3056,AP,AAH,AAAL,M,Dominant control,4,22,burrow,pm,0.041666667,0,11.799999
3057,AQ,AAH,AAAL,M,Dominant control,4.1,22,forage,am,0.071944444,0,10.599999
3058,CP,AN,AABF,M,Subordinate control,4.1,9,forage,am,0.332222222,0,0.2
3059,CQ,AN,AABF,M,Subordinate control,4.1,9,forage,am,0.353055556,0,0.2
3060,AU,AAK,AAAO,F,Dominant control,4,4,forage,pm,0.253888889,2,0.4
3061,AX,AAL,AAAP,F,Dominant treated,4.1,29,forage,pm,0.193888889,0,26.400011
3062,AY,AAL,AAAP,F,Dominant treated,4.1,28,forage,am,0.360277778,0,26.400011
3063,BD,AAL,AAAP,M,Dominant treated,4.2,33,burrow,am,0.135,0,26.400011
3064,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,4.3,12,forage,pm,0.286666667,1,2.8
3065,BI,AX,AAAT,M,Subordinate control,4.1,6,forage,pm,0.252222222,0,5.8
3066,BJ,A,AAAU,F,Subordinate control,4.2,7,forage,am,0.342222222,0,36.199993
3067,BK,A,AAAU,F,Subordinate control,4.2,7,forage,am,0.3425,0,36.199993
3068,BR,AAS,AAAY,F,Dominant control,4,9,forage,pm,0.190555556,2,11.999999
3069,BS,AAS,AAAY,M,Dominant control,4.1,9,forage,pm,0.282777778,2,11.999999
3070,BU,AAS,AAAY,M,Dominant control,4,9,burrow,pm,0.028333333,0,11.999999
3071,BX,AAT,AAAZ,M,Dominant control,4.3,31,forage,pm,0.265555556,1,0
3072,BZ,AAT,AAAZ,M,Dominant control,4.3,31,forage,pm,0.256111111,0,0
3073,CB,AAU,AABA,F,Subordinate control,4,20,burrow,am,0.087222222,0,27.200011
3074,CE,AAU,AABA,F,Subordinate control,3.9,21,forage,am,0.321388889,0,27.200011
3075,CC,AAU,AABA,M,Subordinate control,3.9,21,forage,am,0.391666667,0,27.200011
3076,CY,CB,AABH,M,Subordinate control,3.9,7,forage,pm,0.2675,0,8.799998
3077,A,AAA,AAAA,F,Subordinate control,4.4,25,forage,pm,0.304722222,0,1
3078,B,AAA,AAAA,M,Subordinate control,4.4,25,burrow,pm,0.088055556,0,1
3079,C,AAA,AAAA,M,Subordinate control,4.4,25,burrow,am,0.091944444,0,1
3080,D,AAA,AAAA,M,Subordinate control,4.4,25,forage,am,0.341388889,0,1
3081,H,F,AAAC,F,Subordinate control,4.1,17,burrow,pm,0.056111111,0,13.600001
3082,Q,F,AAAC,M,Subordinate control,4.1,17,burrow,pm,0.098611111,0,13.600001
3083,L,F,AAAC,M,Subordinate control,4.1,17,burrow,pm,0.091111111,0,13.600001
3084,N,AAC,AAAE,M,Dominant treated,4.1,23,forage,pm,0.336111111,0,0
3085,T,AAC,AAAE,M,Dominant treated,4.2,11,forage,pm,0.335277778,0,0
3086,O,AAC,AAAE,M,Dominant treated,4.2,17,forage,pm,0.341666667,0,0
3087,P,AAC,AAAE,M,Dominant treated,4.1,17,forage,pm,0.232222222,0,0
3088,Y,AAE,AAAG,F,Dominant treated,4.2,15,burrow,pm,0.085,0,1.6
3089,Z,AAE,AAAG,F,Dominant treated,4.2,15,forage,am,0.181666667,0,1.6
3090,AB,AAE,AAAG,M,Dominant treated,4.2,15,burrow,pm,0.069166667,0,1.6
3091,AJ,AAG,AAAK,F,Dominant control,4.2,13,forage,am,0.147222222,0,0
3092,AK,AAG,AAAK,M,Dominant control,4.2,13,forage,pm,0.266111111,1,0
3093,AM,AAG,AAAK,M,Dominant control,4.2,13,forage,am,0.223611111,0,0
3094,CI,AR,AABD,F,Subordinate control,4.2,15,forage,am,0.333888889,1,0
3095,AN,AAH,AAAL,F,Dominant control,4.1,22,burrow,am,0.088333333,0,10.599999
3096,AO,AAH,AAAL,F,Dominant control,4.1,22,burrow,am,0.106666667,0,10.599999
3097,CJ,AAW,AABE,F,Subordinate control,4.2,16,forage,am,0.291666667,1,2.6
3098,CK,AAW,AABE,F,Subordinate control,4.2,15,forage,am,0.332777778,1,2.6
3099,CL,AN,AABF,F,Subordinate control,4.1,9,forage,am,0.325277778,0,0.2
3100,AP,AAH,AAAL,M,Dominant control,4.1,22,burrow,am,0.085833333,0,10.599999
3101,AQ,AAH,AAAL,M,Dominant control,4.1,22,forage,pm,0.163888889,2,10.599999
3102,CP,AN,AABF,M,Subordinate control,4.1,9,forage,am,0.328888889,0,0.2
3103,CQ,AN,AABF,M,Subordinate control,4.1,9,forage,pm,0.250555556,0,0.2
3104,AU,AAK,AAAO,F,Dominant control,4,4,forage,pm,0.144722222,0,0.4
3105,AX,AAL,AAAP,F,Dominant treated,4.1,29,forage,pm,0.219722222,0,26.400011
3106,AY,AAL,AAAP,F,Dominant treated,4.1,28,forage,am,0.429722222,1,26.400011
3107,BD,AAL,AAAP,M,Dominant treated,4.2,33,burrow,am,0.0925,0,26.400011
3108,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,4.3,12,forage,pm,0.392222222,2,2.8
3109,BJ,A,AAAU,F,Subordinate control,4.2,7,forage,am,0.337777778,0,36.199993
3110,BK,A,AAAU,F,Subordinate control,4.2,7,forage,am,0.341666667,0,36.199993
3111,BR,AAS,AAAY,F,Dominant control,4,9,forage,pm,0.153611111,1,11.999999
3112,BS,AAS,AAAY,M,Dominant control,4.2,9,burrow,am,0.072777778,0,11.999999
3113,BU,AAS,AAAY,M,Dominant control,4.1,9,forage,pm,0.248611111,1,11.999999
3114,BX,AAT,AAAZ,M,Dominant control,4.3,31,burrow,pm,0.017777778,0,0
3115,BZ,AAT,AAAZ,M,Dominant control,4.3,31,forage,pm,0.1425,0,0
3116,CB,AAU,AABA,F,Subordinate control,4,20,burrow,am,0.0275,0,27.200011
3117,CE,AAU,AABA,F,Subordinate control,3.9,21,forage,am,0.348888889,0,27.200011
3118,CC,AAU,AABA,M,Subordinate control,3.9,21,forage,am,0.365,0,27.200011
3119,CY,CB,AABH,M,Subordinate control,3.9,7,forage,pm,0.272222222,0,8.799998
3120,A,AAA,AAAA,F,Subordinate control,4.4,25,forage,pm,0.25,2,1
3121,B,AAA,AAAA,M,Subordinate control,4.4,25,burrow,am,0.094722222,0,1
3122,C,AAA,AAAA,M,Subordinate control,4.4,25,forage,am,0.336111111,2,1
3123,D,AAA,AAAA,M,Subordinate control,4.4,25,forage,am,0.286944444,0,1
3124,H,F,AAAC,F,Subordinate control,4.2,17,burrow,am,0.1125,0,13.600001
3125,Q,F,AAAC,M,Subordinate control,4.2,17,burrow,am,0.0825,0,13.600001
3126,L,F,AAAC,M,Subordinate control,4.2,17,burrow,am,0.087222222,0,13.600001
3127,N,AAC,AAAE,M,Dominant treated,4.1,17,forage,pm,0.264444444,1,0
3128,T,AAC,AAAE,M,Dominant treated,4.2,23,forage,pm,0.25,0,0
3129,O,AAC,AAAE,M,Dominant treated,4.2,17,forage,pm,0.2475,0,0
3130,P,AAC,AAAE,M,Dominant treated,4.2,17,forage,pm,0.330277778,2,0
3131,Y,AAE,AAAG,F,Dominant treated,4.2,15,burrow,pm,0.067222222,0,1.6
3132,Z,AAE,AAAG,F,Dominant treated,4.2,15,burrow,pm,0.035,0,1.6
