,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1295,R,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.31333,2,40.79999
1296,S,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.32611,2,40.79999
1297,M,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.32333,1,40.79999
1298,N,AAC,AAAE,M,Dominant treated,2.1,20,forage,am,0.26278,1,5.8
1299,T,AAC,AAAE,M,Dominant treated,2.1,20,forage,pm,0.23944,2,5.8
1300,O,AAC,AAAE,M,Dominant treated,2.1,20,forage,am,0.30972,1,5.8
1301,P,AAC,AAAE,M,Dominant treated,2.1,20,forage,am,0.33361,1,5.8
1302,CG,AR,AABD,F,Subordinate control,1.9,22,forage,am,0.38722,1,13.999998
1303,CH,AR,AABD,M,Subordinate control,1.9,22,forage,am,0.37111,1,13.999998
1304,X,AAD,AAAF,F,Dominant control,1.9,5,forage,am,0.33556,0,2.6
1305,Y,AAE,AAAG,F,Dominant treated,2.1,15,forage,am,0.3625,1,10.2
1306,Z,AAE,AAAG,F,Dominant treated,2.1,15,forage,am,0.36361,1,10.2
1307,AA,AAE,AAAH,F,Dominant control,1.6,15,forage,pm,0.11278,0,8.200001
1308,AB,AAE,AAAG,M,Dominant treated,2.1,15,forage,am,0.28806,1,10.2
1309,AF,AAF,AAAJ,F,Dominant control,1.9,11,forage,am,0.33,0,34.200022
1310,AG,AAF,AAAJ,F,Dominant control,2,10,burrow,am,0.05389,1,34.000022
1311,AH,AAF,AAAJ,F,Dominant control,2,10,forage,am,0.32472,0,34.000022
1312,AI,AAF,AAAI,F,Dominant treated,1.9,12,forage,am,0.32361,2,106.000108
1313,AD,AAF,AAAI,F,Dominant treated,1.9,12,forage,am,0.33167,0,106.000108
1314,AE,AAF,AAAI,M,Dominant treated,1.9,12,forage,am,0.35639,1,106.000108
1315,AJ,AAG,AAAK,F,Dominant control,1.9,15,forage,am,0.28667,2,8.2
1316,AK,AAG,AAAK,M,Dominant control,1.9,12,forage,pm,0.20583,6,8.2
1317,AM,AAG,AAAK,M,Dominant control,2,15,burrow,pm,0.04583,0,6.2
1318,CI,AR,AABD,F,Subordinate control,1.9,22,forage,pm,0.25278,0,13.999998
1319,AN,AAH,AAAL,F,Dominant control,2,17,forage,pm,0.25167,1,20.399998
1320,AO,AAH,AAAL,F,Dominant control,2.2,22,burrow,am,0.01639,0,8.2
1321,CJ,AAW,AABE,F,Subordinate control,2,19,forage,am,0.34667,1,9.000001
1322,CK,AAW,AABE,F,Subordinate control,2,19,forage,am,0.35694,2,9.000001
1323,CL,AN,AABF,F,Subordinate control,1.9,12,forage,am,0.34111,0,2
1324,AP,AAH,AAAL,M,Dominant control,2,17,burrow,am,0.10667,0,20.399998
1325,AQ,AAH,AAAL,M,Dominant control,2,17,burrow,am,0.03833,0,20.399998
1326,CM,AAW,AABE,M,Subordinate control,2,19,burrow,am,0.02139,0,9.000001
1327,CN,AAW,AABE,M,Subordinate control,2,19,burrow,am,0.12167,1,9.000001
1328,CO,AN,AABF,M,Subordinate control,1.9,12,forage,am,0.34556,1,2
1329,CP,AN,AABF,M,Subordinate control,1.9,12,forage,am,0.32472,4,2
1330,CQ,AN,AABF,M,Subordinate control,1.9,12,forage,am,0.33611,5,2
1331,AR,AAI,AAAM,F,Dominant treated,2,32,forage,pm,0.64167,4,59.999993
1332,AS,AAI,AAAM,F,Dominant treated,2,32,forage,am,0.49139,4,59.999993
1333,AT,AAJ,AAAN,F,Subordinate control,1.7,33,forage,am,0.53389,2,29.599995
1334,AU,AAK,AAAO,F,Dominant control,2,5,burrow,am,0.095,0,21.999998
1335,AV,AAK,AAAO,M,Dominant control,2,5,burrow,am,0.09889,3,21.999998
1336,AX,AAL,AAAP,F,Dominant treated,1.9,33,forage,am,0.3325,2,13.799999
1337,AY,AAL,AAAP,F,Dominant treated,1.9,33,forage,am,0.33917,4,13.799999
1338,BA,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.3,32,forage,pm,0.07694,0,8.8
1339,BC,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.2,34,forage,pm,0.11528,0,11.600001
1340,BD,AAL,AAAP,M,Dominant treated,1.9,33,forage,am,0.33194,1,13.799999
1341,BH,AX,AAAT,M,Subordinate control,1.9,7,forage,am,0.33889,4,26.399998
1342,BI,AX,AAAT,M,Subordinate control,1.9,7,forage,am,0.33806,1,26.399998
1343,BJ,A,AAAU,F,Subordinate control,2,8,forage,am,0.35278,0,34.200022
1344,BK,A,AAAU,F,Subordinate control,2,8,forage,am,0.34306,5,34.200022
1345,BM,AAQ,AAAW,F,Subordinate control,1.5,22,burrow,pm,0.09556,0,17.599998
1346,BN,AAR,AAAX,M,Dominant control,1.9,22,forage,pm,0.24528,1,27.599995
1347,BO,AAQ,AAAW,M,Subordinate control,1.6,22,forage,am,0.36361,1,20.399998
1348,BP,AAQ,AAAW,M,Subordinate control,1.6,22,burrow,am,0.09389,0,20.399998
1349,BQ,AAQ,AAAW,M,Subordinate control,1.6,22,burrow,am,0.07944,1,20.399998
1350,BR,AAS,AAAY,F,Dominant control,2,10,forage,pm,0.34222,0,27.599995
1351,BS,AAS,AAAY,M,Dominant control,2,10,forage,pm,0.29694,0,27.599995
1352,BU,AAS,AAAY,M,Dominant control,2,10,forage,pm,0.35306,3,27.599995
1353,BW,AAT,AAAZ,F,Dominant control,2,34,burrow,am,0.02056,0,9
1354,CR,AAX,AABG,F,Dominant control,2,12,burrow,am,0.08028,0,36.199993
1355,CS,AAX,AABG,F,Dominant control,2,12,forage,am,0.4175,0,36.199993
